Id,Response
20000,8
20001,7
20002,8
20003,1
20004,8
20005,3
20006,8
20007,7
20008,3
20009,8
20010,8
20011,8
20012,8
20013,4
20014,8
20015,3
20016,3
20017,1
20018,3
20019,3
20020,5
20021,1
20022,8
20023,8
20024,3
20025,2
20026,8
20027,8
20028,8
20029,8
20030,8
20031,8
20032,3
20033,3
20034,4
20035,5
20036,8
20037,8
20038,4
20039,3
20040,8
20041,8
20042,8
20043,3
20044,1
20045,3
20046,8
20047,1
20048,8
20049,4
20050,3
20051,4
20052,8
20053,1
20054,3
20055,3
20056,8
20057,1
20058,3
20059,1
20060,8
20061,8
20062,3
20063,3
20064,4
20065,8
20066,8
20067,4
20068,8
20069,4
20070,8
20071,3
20072,4
20073,3
20074,3
20075,8
20076,3
20077,3
20078,8
20079,8
20080,8
20081,8
20082,3
20083,8
20084,3
20085,2
20086,8
20087,3
20088,2
20089,3
20090,8
20091,8
20092,8
20093,8
20094,8
20095,8
20096,8
20097,8
20098,4
20099,8
20100,8
20101,4
20102,8
20103,1
20104,3
20105,8
20106,3
20107,8
20108,3
20109,8
20110,8
20111,2
20112,8
20113,3
20114,8
20115,1
20116,3
20117,1
20118,8
20119,1
20120,1
20121,3
20122,8
20123,8
20124,4
20125,4
20126,8
20127,8
20128,8
20129,8
20130,4
20131,4
20132,3
20133,4
20134,4
20135,8
20136,8
20137,3
20138,7
20139,3
20140,3
20141,1
20142,3
20143,1
20144,3
20145,8
20146,8
20147,3
20148,3
20149,3
20150,3
20151,8
20152,7
20153,3
20154,2
20155,3
20156,8
20157,8
20158,4
20159,3
20160,5
20161,8
20162,8
20163,7
20164,8
20165,3
20166,8
20167,8
20168,8
20169,8
20170,2
20171,8
20172,8
20173,3
20174,7
20175,8
20176,8
20177,3
20178,3
20179,2
20180,4
20181,8
20182,8
20183,8
20184,3
20185,1
20186,3
20187,2
20188,3
20189,7
20190,3
20191,4
20192,8
20193,6
20194,3
20195,8
20196,3
20197,3
20198,3
20199,3
20200,3
20201,8
20202,8
20203,3
20204,8
20205,8
20206,8
20207,8
20208,3
20209,3
20210,8
20211,3
20212,8
20213,1
20214,4
20215,8
20216,2
20217,5
20218,8
20219,1
20220,8
20221,1
20222,7
20223,1
20224,1
20225,3
20226,1
20227,1
20228,7
20229,8
20230,3
20231,8
20232,1
20233,3
20234,8
20235,8
20236,8
20237,8
20238,7
20239,8
20240,8
20241,8
20242,8
20243,3
20244,1
20245,8
20246,3
20247,8
20248,8
20249,3
20250,5
20251,1
20252,1
20253,8
20254,8
20255,4
20256,8
20257,3
20258,8
20259,8
20260,8
20261,8
20262,3
20263,8
20264,8
20265,8
20266,8
20267,8
20268,8
20269,8
20270,8
20271,8
20272,4
20273,3
20274,1
20275,3
20276,4
20277,8
20278,8
20279,3
20280,8
20281,8
20282,8
20283,3
20284,8
20285,8
20286,1
20287,8
20288,1
20289,8
20290,8
20291,3
20292,8
20293,7
20294,8
20295,1
20296,4
20297,4
20298,8
20299,8
20300,4
20301,8
20302,3
20303,8
20304,1
20305,3
20306,2
20307,8
20308,3
20309,8
20310,3
20311,3
20312,3
20313,8
20314,3
20315,8
20316,8
20317,4
20318,8
20319,8
20320,2
20321,1
20322,3
20323,3
20324,3
20325,8
20326,3
20327,8
20328,3
20329,8
20330,1
20331,4
20332,2
20333,3
20334,8
20335,8
20336,8
20337,5
20338,8
20339,8
20340,3
20341,8
20342,7
20343,3
20344,3
20345,3
20346,8
20347,8
20348,8
20349,7
20350,3
20351,7
20352,3
20353,1
20354,3
20355,8
20356,3
20357,3
20358,8
20359,8
20360,3
20361,3
20362,8
20363,8
20364,8
20365,2
20366,3
20367,7
20368,8
20369,3
20370,8
20371,8
20372,3
20373,8
20374,4
20375,6
20376,8
20377,8
20378,8
20379,8
20380,8
20381,7
20382,8
20383,8
20384,4
20385,8
20386,3
20387,7
20388,8
20389,8
20390,4
20391,3
20392,7
20393,2
20394,8
20395,4
20396,1
20397,3
20398,8
20399,3
20400,4
20401,3
20402,8
20403,8
20404,3
20405,1
20406,3
20407,8
20408,8
20409,8
20410,1
20411,4
20412,8
20413,3
20414,3
20415,8
20416,3
20417,1
20418,7
20419,8
20420,8
20421,3
20422,7
20423,7
20424,8
20425,8
20426,8
20427,3
20428,8
20429,3
20430,8
20431,8
20432,3
20433,4
20434,8
20435,3
20436,1
20437,8
20438,8
20439,5
20440,3
20441,3
20442,3
20443,8
20444,8
20445,8
20446,3
20447,8
20448,4
20449,2
20450,3
20451,3
20452,1
20453,2
20454,4
20455,1
20456,8
20457,4
20458,1
20459,8
20460,4
20461,8
20462,2
20463,7
20464,8
20465,3
20466,5
20467,1
20468,8
20469,8
20470,6
20471,3
20472,8
20473,1
20474,3
20475,8
20476,3
20477,2
20478,3
20479,4
20480,1
20481,8
20482,8
20483,2
20484,8
20485,8
20486,8
20487,3
20488,4
20489,8
20490,7
20491,4
20492,8
20493,8
20494,8
20495,3
20496,3
20497,1
20498,4
20499,8
20500,8
20501,8
20502,5
20503,8
20504,5
20505,3
20506,1
20507,8
20508,8
20509,8
20510,8
20511,3
20512,4
20513,8
20514,8
20515,6
20516,3
20517,3
20518,7
20519,8
20520,8
20521,8
20522,3
20523,3
20524,8
20525,8
20526,8
20527,8
20528,4
20529,3
20530,2
20531,2
20532,7
20533,8
20534,8
20535,8
20536,1
20537,8
20538,1
20539,3
20540,3
20541,8
20542,7
20543,1
20544,1
20545,8
20546,3
20547,8
20548,4
20549,8
20550,3
20551,8
20552,3
20553,8
20554,8
20555,3
20556,7
20557,3
20558,3
20559,1
20560,8
20561,3
20562,2
20563,3
20564,8
20565,3
20566,1
20567,4
20568,1
20569,8
20570,2
20571,2
20572,8
20573,8
20574,8
20575,8
20576,8
20577,8
20578,4
20579,4
20580,8
20581,8
20582,5
20583,4
20584,3
20585,8
20586,8
20587,4
20588,3
20589,8
20590,3
20591,8
20592,3
20593,2
20594,1
20595,8
20596,3
20597,3
20598,8
20599,8
20600,8
20601,3
20602,7
20603,8
20604,8
20605,3
20606,8
20607,1
20608,8
20609,8
20610,4
20611,1
20612,3
20613,1
20614,4
20615,8
20616,7
20617,8
20618,8
20619,3
20620,8
20621,8
20622,1
20623,2
20624,8
20625,4
20626,4
20627,8
20628,4
20629,7
20630,8
20631,7
20632,8
20633,8
20634,4
20635,1
20636,7
20637,7
20638,3
