Id,Response
20000,8
20001,8
20002,8
20003,8
20004,8
20005,6
20006,8
20007,7
20008,6
20009,8
20010,7
20011,8
20012,6
20013,6
20014,8
20015,1
20016,6
20017,8
20018,7
20019,8
20020,6
20021,6
20022,8
20023,7
20024,7
20025,6
20026,6
20027,7
20028,1
20029,8
20030,8
20031,6
20032,1
20033,8
20034,2
20035,6
20036,2
20037,8
20038,8
20039,6
20040,6
20041,8
20042,8
20043,1
20044,7
20045,1
20046,5
20047,6
20048,8
20049,8
20050,8
20051,5
20052,2
20053,1
20054,7
20055,6
20056,8
20057,2
20058,8
20059,6
20060,8
20061,8
20062,8
20063,8
20064,1
20065,8
20066,7
20067,1
20068,8
20069,8
20070,6
20071,1
20072,8
20073,1
20074,3
20075,6
20076,7
20077,6
20078,8
20079,8
20080,8
20081,8
20082,8
20083,6
20084,8
20085,5
20086,6
20087,6
20088,2
20089,3
20090,8
20091,8
20092,1
20093,8
20094,1
20095,8
20096,6
20097,8
20098,6
20099,6
20100,8
20101,7
20102,8
20103,6
20104,8
20105,8
20106,8
20107,8
20108,1
20109,8
20110,8
20111,1
20112,8
20113,7
20114,1
20115,1
20116,6
20117,1
20118,8
20119,1
20120,2
20121,8
20122,6
20123,8
20124,2
20125,5
20126,6
20127,7
20128,2
20129,1
20130,6
20131,6
20132,8
20133,2
20134,7
20135,8
20136,8
20137,6
20138,2
20139,6
20140,2
20141,5
20142,1
20143,6
20144,8
20145,5
20146,8
20147,8
20148,8
20149,8
20150,2
20151,1
20152,8
20153,8
20154,8
20155,8
20156,8
20157,8
20158,7
20159,6
20160,8
20161,5
20162,8
20163,2
20164,8
20165,7
20166,6
20167,8
20168,8
20169,8
20170,6
20171,8
20172,8
20173,2
20174,8
20175,8
20176,8
20177,6
20178,6
20179,2
20180,6
20181,8
20182,8
20183,8
20184,7
20185,2
20186,6
20187,7
20188,1
20189,2
20190,1
20191,8
20192,6
20193,8
20194,6
20195,8
20196,6
20197,6
20198,6
20199,2
20200,8
20201,8
20202,8
20203,2
20204,8
20205,7
20206,5
20207,7
20208,8
20209,1
20210,4
20211,6
20212,6
20213,8
20214,5
20215,8
20216,1
20217,2
20218,6
20219,6
20220,6
20221,1
20222,6
20223,8
20224,2
20225,6
20226,8
20227,1
20228,2
20229,8
20230,1
20231,8
20232,1
20233,5
20234,8
20235,6
20236,6
20237,8
20238,8
20239,8
20240,6
20241,8
20242,7
20243,8
20244,8
20245,7
20246,8
20247,8
20248,8
20249,1
20250,8
20251,8
20252,2
20253,7
20254,7
20255,1
20256,8
20257,6
20258,7
20259,8
20260,5
20261,6
20262,6
20263,6
20264,7
20265,2
20266,8
20267,8
20268,8
20269,4
20270,6
20271,7
20272,8
20273,6
20274,4
20275,8
20276,6
20277,8
20278,7
20279,8
20280,7
20281,2
20282,8
20283,8
20284,8
20285,6
20286,6
20287,6
20288,8
20289,8
20290,8
20291,8
20292,7
20293,1
20294,8
20295,7
20296,6
20297,8
20298,8
20299,7
20300,4
20301,1
20302,2
20303,8
20304,8
20305,6
20306,6
20307,6
20308,8
20309,6
20310,6
20311,7
20312,2
20313,8
20314,8
20315,8
20316,8
20317,1
20318,8
20319,8
20320,6
20321,2
20322,1
20323,6
20324,8
20325,8
20326,6
20327,8
20328,2
20329,8
20330,8
20331,8
20332,6
20333,1
20334,8
20335,7
20336,6
20337,7
20338,8
20339,8
20340,7
20341,8
20342,1
20343,6
20344,6
20345,8
20346,6
20347,1
20348,8
20349,6
20350,6
20351,1
20352,7
20353,1
20354,2
20355,6
20356,2
20357,1
20358,7
20359,6
20360,1
20361,8
20362,8
20363,8
20364,8
20365,7
20366,8
20367,5
20368,8
20369,1
20370,8
20371,7
20372,7
20373,8
20374,6
20375,6
20376,6
20377,6
20378,8
20379,8
20380,6
20381,1
20382,5
20383,8
20384,6
20385,8
20386,1
20387,2
20388,8
20389,8
20390,8
20391,6
20392,6
20393,8
20394,8
20395,7
20396,8
20397,7
20398,8
20399,1
20400,6
20401,8
20402,1
20403,8
20404,6
20405,1
20406,6
20407,8
20408,8
20409,8
20410,8
20411,1
20412,8
20413,8
20414,7
20415,8
20416,6
20417,1
20418,6
20419,8
20420,8
20421,8
20422,7
20423,1
20424,5
20425,8
20426,5
20427,8
20428,8
20429,7
20430,8
20431,6
20432,7
20433,2
20434,8
20435,7
20436,2
20437,1
20438,8
20439,5
20440,8
20441,6
20442,2
20443,8
20444,1
20445,8
20446,8
20447,8
20448,2
20449,6
20450,6
20451,6
20452,5
20453,6
20454,6
20455,6
20456,8
20457,1
20458,1
20459,1
20460,8
20461,8
20462,2
20463,7
20464,6
20465,6
20466,8
20467,6
20468,2
20469,8
20470,7
20471,8
20472,8
20473,2
20474,8
20475,8
20476,8
20477,8
20478,7
20479,1
20480,2
20481,6
20482,8
20483,2
20484,8
20485,8
20486,8
20487,7
20488,5
20489,6
20490,6
20491,8
20492,8
20493,8
20494,8
20495,7
20496,1
20497,8
20498,1
20499,8
20500,8
20501,8
20502,6
20503,8
20504,8
20505,1
20506,8
20507,8
20508,8
20509,8
20510,8
20511,6
20512,8
20513,8
20514,8
20515,8
20516,8
20517,1
20518,8
20519,8
20520,8
20521,8
20522,7
20523,6
20524,8
20525,8
20526,8
20527,7
20528,6
20529,8
20530,1
20531,1
20532,2
20533,6
20534,6
20535,5
20536,2
20537,8
20538,8
20539,6
20540,6
20541,8
20542,6
20543,2
20544,6
20545,8
20546,8
20547,6
